lipid_name,lipid_id
PI(31:0),pail_hs_c
PI(32:2),pail_hs_c
PI(32:1),pail_hs_c
PI(34:3),pail_hs_c
PI(34:2),pail_hs_c
PI(34:1),pail_hs_c
PI(35:2),pail_hs_c
PI(35:1),pail_hs_c
PI(36:5),pail_hs_c
PI(36:4),pail_hs_c
PI(36:3),pail_hs_c
PI(36:2),pail_hs_c
PI(36:1),pail_hs_c
PI(37:4),pail_hs_c
PI(38:6),pail_hs_c
PI(38:5),pail_hs_c
PI(38:4),pail_hs_c
PI(38:3),pail_hs_c
PI(38:2),pail_hs_c
PI(38:1),pail_hs_c
PI(39:6),pail_hs_c
PI(39:5),pail_hs_c
PI(40:6),pail_hs_c
PI(40:4),pail_hs_c
PI(40:3),pail_hs_c
PI(40:2),pail_hs_c
PI(40:1),pail_hs_c
PI(42:6),pail_hs_c
PE(28:0),pe_hs_c
PE(31:1),pe_hs_c
PE(32:2),pe_hs_c
PE(32:1),pe_hs_c
PE(33:2),pe_hs_c
PE(34:4),pe_hs_c
PE(34:2),pe_hs_c
PE(34:1),pe_hs_c
PE(35:2),pe_hs_c
PE(35:1),pe_hs_c
PE(36:4),pe_hs_c
PE(36:3),pe_hs_c
PE(36:2),pe_hs_c
PE(36:1),pe_hs_c
PE(37:2),pe_hs_c
PE(38:5),pe_hs_c
PE(38:4),pe_hs_c
PE(38:2),pe_hs_c
PE(39:3),pe_hs_c
PE(40:8),pe_hs_c
PE(40:6),pe_hs_c
PE(40:5),pe_hs_c
PE(40:4),pe_hs_c
PE(40:3),pe_hs_c
PE(41:5),pe_hs_c
PE(42:9),pe_hs_c
PE(42:7),pe_hs_c
PE(42:6),pe_hs_c
PE(42:5),pe_hs_c
PE(42:4),pe_hs_c
PE(42:3),pe_hs_c
PE(42:2),pe_hs_c
PE(44:6),pe_hs_c
PG(30:1),pglyc_hs_c
PG(32:2),pglyc_hs_c
PG(33:1),pglyc_hs_c
PG(34:1),pglyc_hs_c
PG(35:1),pglyc_hs_c
PG(36:1),pglyc_hs_c
PG(40:6),pglyc_hs_c
PS(33:1),ps_hs_c
PS(33:0),ps_hs_c
PS(34:2),ps_hs_c
PS(34:1),ps_hs_c
PS(36:4),ps_hs_c
PS(36:3),ps_hs_c
PS(36:2),ps_hs_c
PS(36:1),ps_hs_c
PS(38:6),ps_hs_c
PS(38:5),ps_hs_c
PS(38:4),ps_hs_c
PS(38:3),ps_hs_c
PS(38:1),ps_hs_c
PS(39:6),ps_hs_c
PS(40:7),ps_hs_c
PS(40:6),ps_hs_c
PS(40:5),ps_hs_c
PS(40:4),ps_hs_c
PS(40:3),ps_hs_c
PS(40:2),ps_hs_c
PS(40:1),ps_hs_c
PS(42:9),ps_hs_c
SM(d18:1_13:0),sphmyln_hs_c
SM(d18:1_14:1),sphmyln_hs_c
SM(d18:1_14:0),sphmyln_hs_c
SM(d18:1_15:0),sphmyln_hs_c
SM(d18:1_16:1),sphmyln_hs_c
SM(d18:1_16:0),sphmyln_hs_c
SM(d18:1_16:1-OH),sphmyln_hs_c
SM(d18:1_17:0),sphmyln_hs_c
SM(d18:1_16:0-OH),sphmyln_hs_c
SM(d18:1_18:2),sphmyln_hs_c
SM(d18:1_18:1),sphmyln_hs_c
SM(d18:1_18:0),sphmyln_hs_c
SM(d18:1_19:0),sphmyln_hs_c
SM(d18:1_20:2),sphmyln_hs_c
SM(d18:1_20:1),sphmyln_hs_c
SM(d18:1_20:0),sphmyln_hs_c
SM(d18:1_21:0),sphmyln_hs_c
SM(d18:1_22:1),sphmyln_hs_c
SM(d18:1_22:0),sphmyln_hs_c
SM(d18:1_22:1-OH),sphmyln_hs_c
SM(d18:1_24:2),sphmyln_hs_c
SM(d18:1_24:1),sphmyln_hs_c
SM(d18:1_24:0),sphmyln_hs_c
SM(d18:1_25:2),sphmyln_hs_c
SM(d18:1_25:1),sphmyln_hs_c
SM(d18:1_24:1-OH),sphmyln_hs_c
SM(d18:1_25:0),sphmyln_hs_c
SM(d18:1_26:2),sphmyln_hs_c
SM(d18:1_26:1),sphmyln_hs_c
